name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий
@angular-architects/module-federation;22.0.0;22.0.x;https://github.com/angular-architects/module-federation-plugin;npm install @angular-architects/module-federation@^22.0.0;direct;Классический Module Federation (Webpack). Версия закреплена за v22 (должна совпадать с major-версией Angular). Обновлять до последнего patch в 22.x. Переход на 23 требует обновления всего стека Angular. В проекте используется билдер native-federation, данный пакет может быть не нужен в runtime.
@angular-architects/native-federation;22.1.2;22.1.x;https://github.com/native-federation/angular-adapter;npm install @angular-architects/native-federation@^22.1.2;direct;Адаптер Native Federation для Angular (основной билдер проекта, см. angular.json builder). Требует @angular/build ~22.1.x в качестве peerDependency.
@angular-builders/jest;22.0.1;22.0.x;https://github.com/just-jeb/angular-builders;npm install @angular-builders/jest@^22.0.1;direct;Jest-builder для Angular. Peer-зависимости: @angular/core ^22, jest ^30, rxjs >=7. Должен совпадать по версии с Angular 22.
@angular/animations;22.1.6;22.1.x;https://github.com/angular/angular/tree/main/packages/animations;npm install @angular/animations@^22.1.6;direct;Часть Angular. Обновлять все @angular/* синхронно. Переход на 23.x — отдельная миграция (ng update), не рекомендуется без необходимости.
@angular/build;22.1.8;22.1.x;https://github.com/angular/angular-cli;npm install @angular/build@^22.1.8;direct;Официальный билдер Angular (esbuild/rolldown/vite). Требует typescript >=6.0 <6.1. Пиннит внутренние зависимости (esbuild 0.28.2, sass 1.101.0, vite 8.1.5, rolldown 1.2.0, oxc-parser 0.142.0) — их нельзя обновлять независимо.
@angular/cdk;22.1.6;22.1.x;https://github.com/angular/components;npm install @angular/cdk@^22.1.6;direct;Angular Material CDK. peerDependencies допускают ^22 || ^23, но для согласованности держать на 22.x вместе с material и ядром Angular.
@angular/cli;22.1.8;22.1.x;https://github.com/angular/angular-cli;npm install @angular/cli@^22.1.8;direct;CLI Angular. Версия должна быть согласована с @angular/build и @schematics/angular (packageGroup ng-update).
@angular/common;22.1.6;22.1.x;https://github.com/angular/angular/tree/main/packages/common;npm install @angular/common@^22.1.6;direct;Часть Angular. peer: @angular/core 22.1.6, rxjs ^6.5.3||^7.4.0.
@angular/compiler;22.1.6;22.1.x;https://github.com/angular/angular/tree/main/packages/compiler;npm install @angular/compiler@^22.1.6;direct;Часть Angular.
@angular/compiler-cli;22.1.6;22.1.x;https://github.com/angular/angular/tree/main/packages/compiler-cli;npm install @angular/compiler-cli@^22.1.6;direct;Компилятор Angular CLI. peer: @angular/compiler 22.1.6, typescript >=6.0 <6.1 (ограничивает максимум TypeScript).
